Instance,AvgTime(s),AvgSize,RelErr
large1,0.543,83.000,0.660
large10,0.441,319.000,0.443
large11,0.133,56.000,0.400
large12,0.047,18.000,0.200
large2,0.041,21.000,0.105
large3,0.046,17.000,0.133
large4,0.206,153.000,0.681
large5,0.043,8.000,0.333
large6,0.048,7.000,0.167
large7,0.532,172.000,0.811
large8,0.039,6.000,0.200
large9,0.047,16.000,0.143
small1,0.037,5.000,0.000
small10,0.037,3.000,0.500
small11,0.037,5.000,0.250
small12,0.036,4.000,0.333
small13,0.037,3.000,0.500
small14,0.037,3.000,0.500
small15,0.036,3.000,0.500
small16,0.037,3.000,0.500
small17,0.037,3.000,0.500
small18,0.036,3.000,0.500
small2,0.036,4.000,0.333
small3,0.037,6.000,0.200
small4,0.037,5.000,0.250
small5,0.037,6.000,0.200
small6,0.037,4.000,0.333
small7,0.038,4.000,0.333
small8,0.036,3.000,0.500
small9,0.036,4.000,0.333
