Instance,AvgTime(s),AvgSize,RelErr
large1,673.135,149.800,1.996
large10,673.333,405.900,0.837
large11,320.516,77.700,0.943
large12,9.434,25.700,0.713
large2,3.966,26.200,0.379
large3,21.593,25.800,0.720
large4,572.973,192.900,1.120
large5,6.401,9.600,0.600
large6,14.316,9.200,0.533
large7,666.747,230.800,1.429
large8,3.047,6.800,0.360
large9,18.839,25.700,0.836
small1,0.154,5.000,0.000
small10,0.085,2.000,0.000
small11,0.139,4.000,0.000
small12,0.113,3.000,0.000
small13,0.100,2.000,0.000
small14,0.089,2.000,0.000
small15,0.115,2.000,0.000
small16,0.109,2.000,0.000
small17,0.132,2.000,0.000
small18,0.127,2.000,0.000
small2,0.087,3.000,0.000
small3,0.104,5.000,0.000
small4,0.100,4.000,0.000
small5,0.124,5.000,0.000
small6,0.119,3.000,0.000
small7,0.092,3.000,0.000
small8,0.085,2.000,0.000
small9,0.104,3.000,0.000
