Instance,AvgTime(s),AvgSize,RelErr
large1,900.000,83.000,0.660
large10,900.000,319.000,0.443
large11,900.000,56.000,0.400
large12,900.000,18.000,0.200
large2,900.000,21.000,0.105
large3,900.000,17.000,0.133
large4,900.000,153.000,0.681
large5,900.000,8.000,0.333
large6,900.000,7.000,0.167
large7,900.000,172.000,0.811
large8,128.387,5.000,0.000
large9,900.000,16.000,0.143
small1,0.056,5.000,0.000
small10,0.046,2.000,0.000
small11,0.051,4.000,0.000
small12,0.048,3.000,0.000
small13,0.046,2.000,0.000
small14,0.046,2.000,0.000
small15,0.047,2.000,0.000
small16,0.046,2.000,0.000
small17,0.046,2.000,0.000
small18,0.046,2.000,0.000
small2,0.047,3.000,0.000
small3,0.047,5.000,0.000
small4,0.047,4.000,0.000
small5,0.046,5.000,0.000
small6,0.046,3.000,0.000
small7,0.047,3.000,0.000
small8,0.046,2.000,0.000
small9,0.046,3.000,0.000
