Instance,AvgTime(s),AvgSize,RelErr
large1,56.161,50.000,0.000
large10,226.088,317.600,0.437
large11,36.018,56.000,0.400
large12,3.777,18.000,0.200
large2,1.540,20.600,0.084
large3,8.054,17.000,0.133
large4,39.700,152.900,0.680
large5,6.735,8.000,0.333
large6,13.009,7.000,0.167
large7,145.901,172.000,0.811
large8,3.856,6.000,0.200
large9,7.698,16.000,0.143
small1,0.201,5.000,0.000
small10,0.166,3.000,0.500
small11,0.227,4.800,0.200
small12,0.215,3.900,0.300
small13,0.149,3.000,0.500
small14,0.168,2.600,0.300
small15,0.187,3.000,0.500
small16,0.190,3.000,0.500
small17,0.283,3.000,0.500
small18,0.262,2.700,0.350
small2,0.151,3.900,0.300
small3,0.153,5.800,0.160
small4,0.173,4.900,0.225
small5,0.214,5.000,0.000
small6,0.187,4.000,0.333
small7,0.118,4.000,0.333
small8,0.146,2.800,0.400
small9,0.177,3.800,0.267
